,Attack_Index,Finesse_Factor
63,7.174708831891848,43.48976532932083
81,52.90527366398916,19.5899862030399
55,27.800397790905347,27.00879231788204
44,29.001416312128324,14.25918113615614
1,8.51905417603076,2.660985975488746
27,65.1318060101829,37.58467117352638
11,42.84078100377414,17.616475791901006
20,75.21151815478673,47.076833068908556
3,66.88520028614343,27.10860163425209
10,100.0,38.56361252067087
16,71.63631273403185,44.86275115069632
31,76.32491437607976,36.78644802569822
18,70.50267042041528,30.984897588371922
22,55.958854073551244,30.529761931639904
23,75.4561101685756,41.28910151603296
77,48.788699084066245,55.87718849702819
24,0.0,100.0
14,90.77915983593799,38.07670259976463
2,14.700294851750106,0.0
4,20.131458111760338,50.276232438654276
