,Attack_Index,Finesse_Factor
1,27.29035712427929,4.00177516299994
31,24.331646634551728,10.051516678082379
10,25.007132578465157,6.622539399701373
63,28.43355141855663,7.245990451492701
16,21.648846954225995,4.417980101082416
4,27.67257003202152,7.675010106201019
22,24.553721015567973,9.924217434350961
81,28.18744481586724,6.868266234974126
30,24.407254946103674,3.0107415703968465
44,28.33133206396331,4.075050970586788
11,21.79638153081935,5.886473630886488
50,19.29340002978144,0.0
77,12.016775682380665,11.875251355643927
14,22.98292950821609,3.3817830039034527
24,13.745460108470962,14.216833574734267
55,1.8154803643326556,37.680262692464254
43,0.0,55.14407754735598
23,100.0,62.82586347563465
18,1.9284303905433193,100.00000000000003
27,1.0017027268170478,31.46549167817534
