,Attack_Index,Finesse_Factor
81,2.365958463454561,35.2540696162542
16,24.601450196798407,100.0
63,0.0,18.65885002318327
4,3.9979814475924393,21.497069142856382
1,8.236288990484725,39.815998634739664
14,2.854440556493369,5.350946980364468
23,6.870576061971545,1.683316680626808
43,3.9101504760097403,0.0
44,61.202145762243596,36.37778008288242
50,11.734749935492772,23.968805727459564
27,6.730998269443174,25.363766960366746
10,2.980657762221332,17.035112262081235
3,5.662495696722392,19.801311397469203
24,44.87935250826482,36.792191633027386
31,84.37430751781444,30.360219030892605
77,40.57700764663851,34.6176102130075
11,1.85290365693828,82.8343110458127
55,32.37645247998759,81.02743465795254
18,31.806829657491097,35.80086190193894
22,100.0,0.7175253418340761
