,Attack_Index,Finesse_Factor
81,1.684008430480118,0.0
4,5.383901213214223,12.520105243814875
44,6.814622956200152,4.7749896698730785
16,16.85493678645108,21.04046405231713
1,7.406599654979622,42.26306649200712
55,17.757223630160524,40.844227924745105
11,0.0,67.38334505636794
63,4.01111698059419,44.629650109384265
22,4.563018553242163,22.68422596791958
18,0.5191968301287615,66.50387296222252
14,1.9834671646293378,54.89927495709481
3,2.3965755553230883,80.89994884609646
27,6.164760522296745,74.79569873017302
23,2.493717985913742,63.193676379255095
20,3.2451768136102066,66.66556195133828
77,19.763852331631647,100.0
2,4.216778358491968,78.79920797656244
31,9.05466476054675,58.102471179996094
24,18.166230722386224,47.961140120309274
10,100.0,49.394797553340005
