,Attack_Index,Finesse_Factor
4,45.79351868410413,98.74321340226938
55,37.587129856101406,100.0
16,31.967388413102597,41.33218696990577
44,32.04530236694173,33.2681492229779
63,36.7330830864745,71.98792974887303
1,1.5464463378109805,37.86519260265661
10,27.407678882362035,50.244260205209024
27,36.51585762258907,42.51300487850451
14,30.79150263457834,28.21212545910755
81,28.186382440813553,7.585343231267124
23,31.939216441735557,53.70698931925016
22,0.0,24.847515678441344
24,23.32605824838253,22.221413273590436
18,0.8178739607128523,28.00629878182535
61,29.022388056237407,10.237578763974405
20,36.179037351856365,21.06192117754773
30,5.706903056583309,38.44254068212163
77,85.92036681584668,0.0
43,89.52332617528495,36.79565566920195
11,100.0,36.41311309617364
