,Attack_Index,Finesse_Factor
44,5.767314350454486,13.929578434857115
81,13.391345055147955,7.603084112634543
16,22.354822348709327,25.795837625329405
1,5.838889744465026,58.456007304756106
4,6.657824883746162,74.3408398752975
55,20.0045281030139,51.84387355979659
11,12.566166200823128,0.0
14,4.807366733609783,31.873826571601032
31,11.803514065382485,94.61189297306721
3,1.945397113988201,54.203586451781774
18,0.0,37.705615739205015
23,3.7372343232374186,58.530237100776006
10,4.943272541399671,56.22651654601649
20,9.417839560181518,62.09636715115218
77,22.638210117891056,100.0
22,4.2211513891092425,20.16884080326377
2,13.192099086181376,3.2269195830003206
27,12.944813138547998,35.07086999430469
24,100.0,39.065152990763615
63,8.119792523238274,18.894089313666935
