,Attack_Index,Finesse_Factor
55,48.367494422298016,0.0
4,35.33018839017924,23.267703767607518
16,47.526189349647865,11.728828829687599
44,29.57027026395268,87.48302713601072
63,32.8400188069499,20.558828754442672
1,10.383092039309256,37.074977245445844
20,14.693774941402804,44.31344641469373
81,0.0,100.0
27,14.5706167293813,20.00111169102411
10,10.027230249541878,34.14865151955001
18,12.151397649948608,19.645282692900885
43,5.389424726015771,63.32011235140046
31,55.29363040387655,81.44685256753225
77,32.232317617150116,55.44132664237408
24,31.82939735951995,45.53259404434458
30,7.179522004812822,97.40560743658331
11,14.495235818206545,13.987316029525395
14,85.33556737928497,17.4276587976928
23,99.52840921549074,72.01821354798837
22,100.0,73.40187747917327
