,Attack_Index,Finesse_Factor
1,8.320571996870063,83.77322866451938
11,3.642304813066007,69.73561865302423
55,30.759422376185626,43.947066086258005
16,38.70343870538275,37.3604346555629
4,21.095776238979443,47.232198878817286
14,27.621945351364197,55.23648571719465
63,19.47230537858556,34.263957365642455
81,29.576223311066506,35.125590829957524
44,23.266435004970297,48.16660943078561
22,0.0,54.16575313921093
27,34.53876256838067,20.451081793137536
18,4.62451723725259,44.38297202723135
20,33.99852216171516,36.439576310802146
77,33.72208342695837,19.845510938139643
31,6.48465482978479,54.1833515083923
10,10.907134346937086,62.98086137595654
2,33.5101219045872,28.4830124016986
24,92.41961318833408,0.0
3,92.58357065506222,72.02004694863324
23,100.0,100.0
