,Attack_Index,Finesse_Factor
1,16.781517752743827,100.0
16,40.24968284050899,43.71996807787104
81,3.6421163944005963,71.31289104092465
63,0.4067327967508083,49.48751341885416
10,11.816816891707644,56.68557300893483
55,41.96757925193877,10.18301631999287
14,8.837808524373852,47.82533664979222
24,40.03508411608509,19.401302682253394
20,9.96786511153102,19.842481873964697
4,4.396691142201381,43.90742204924704
77,38.90557297065795,5.78539937147832
44,0.0,0.0
22,4.786062282935832,28.54872156478601
30,1.5927166715165475,40.57487174189882
23,2.9048835708036957,38.3244731586186
27,48.69825439096157,25.015756314746966
11,20.205037189743617,75.01953695533854
18,91.48660992104624,64.61345957224297
43,99.99999999999999,30.185253347416662
31,90.23862195113743,58.92030472928925
