,Attack_Index,Finesse_Factor
1,33.80233318972775,1.788178727173036
4,53.2784005921624,10.082907914386773
63,57.035511892351366,15.122399940037226
44,60.63682268516778,23.685372369287496
81,55.47674206511716,12.875176633186506
14,34.68409314670563,0.0
18,39.09188563489284,4.224560543015676
3,55.23208165434706,14.627314921960707
10,76.31429940931335,34.27851071029646
31,56.111097850861,24.57331152049685
27,61.46492925439572,14.161562400163561
20,56.81150652204122,16.862047403650944
77,44.79029145305372,18.545614702169132
22,47.454028141934,10.004544012419297
24,39.45496690020669,11.426813694520373
55,42.632012899086874,57.48074583550653
23,100.00000000000003,100.0
11,48.268893524743554,55.193057035275274
16,21.199260112869368,67.33210987473414
2,0.0,91.32822979017577
