,Attack_Index,Finesse_Factor
1,8.732666915581449,85.51588605589525
4,0.0,75.46138342967818
16,60.12327599529791,38.31196004330402
81,4.24291523059348,32.45595492901133
55,63.54634787566994,42.73548994487897
44,9.342122273514104,49.44716653044261
63,31.513966100052816,63.72059289939232
11,8.940742777035197,38.87500297457369
18,3.799648361282215,26.968997449207272
22,7.927832269749187,21.699955791544966
27,13.286329817177847,34.785811066249586
20,19.27873676431289,0.0
3,4.278369267952575,41.61664320963974
31,9.770142595490576,7.666800023050506
24,39.94888201094447,9.229186612946243
10,6.878780216046643,38.79296725478956
2,6.568415774142673,31.250345921504607
77,41.666435161916766,32.45496244754044
14,100.0,35.12644918964953
23,38.726151807300305,100.0
