,Attack_Index,Finesse_Factor
1,11.465757843915835,8.242052919338187
11,5.308148303467456,22.080319253544026
16,43.35019776342414,58.82448349087377
81,3.507476198552021,76.04057243245138
14,2.211927500921089,16.995615585890057
63,5.490992977771447,19.020873426372177
38,17.00683370875361,46.18196992299754
4,0.0,0.0
44,5.771419966672001,33.20978656287535
27,9.49595782413261,25.381495585485663
23,8.692275237403635,84.20013600612587
20,16.278745881377432,52.01306050427519
31,9.841552312463115,92.5326322309555
2,11.010045948424578,100.0
22,6.854824146490901,73.36117919717168
3,1.944737327394271,38.85632483937054
77,29.62515849963074,44.5539576994002
24,27.63454707673928,25.284123606522307
18,100.0,41.00987458347987
10,94.70516197384869,39.303292033992356
