,Attack_Index,Finesse_Factor
4,17.149719971480593,36.34539246162822
1,0.0,36.341152984964594
16,40.915527182617154,53.16457237468298
11,6.867284646074075,10.162406380215588
55,39.99648095748448,49.914531595299
44,48.73054537491921,40.29686861980345
22,18.211422855200432,6.004598334457404
63,24.71846811905067,33.216381380576046
14,45.76316369984332,40.997931248134
31,32.80768626655235,31.21764061954545
27,100.00000000000003,42.30660006412542
10,45.598592180929984,9.688922535451
81,35.42398012610713,30.62724898132721
24,50.78375586269952,28.54764242403709
3,63.5668426083391,0.0
77,29.786858880880697,40.40185310351181
18,46.39350822107471,40.04689059223111
23,39.43696566487505,39.841395868215876
20,34.483558617432834,46.66507766919868
2,26.208813520261415,100.0
