,Attack_Index,Finesse_Factor
16,53.3943375240033,25.41996333939387
81,5.5841959408154285,100.0
4,6.018373754886341,57.25816404481946
55,54.028839129616166,29.263108622780504
44,38.52899055754776,53.10121904109003
1,10.732748352270065,60.563453483408495
63,32.436528857912755,2.4862455454039685
11,9.031091011274713,46.124554820336435
23,16.321823146081236,46.264597874565474
20,15.228768586808616,12.06985173086419
14,3.142194860581523,33.393995841411886
43,7.968798101702361,48.05840627454087
3,7.219276942438957,58.24188992738642
31,9.285969027884004,42.47294049752004
10,6.345963081759039,32.04095928158839
77,28.641705996251293,24.19169771707538
27,21.679840482295976,69.05163380231167
24,30.18513088246691,24.153857781078738
18,0.0,0.0
22,100.0,64.9596641728016
