,Attack_Index,Finesse_Factor
44,24.155830763006676,53.51317256879541
1,5.019842566987235,63.65365730075377
4,33.72321728523768,24.800988927107795
81,32.79173928125822,9.450635629601646
55,38.795279651721934,23.260617752963796
27,35.840070420503146,0.0
18,0.32785498722815254,57.35641895134541
14,0.0,65.35226659684326
23,38.645815393330956,19.896934388519306
22,3.8222435009626223,51.94616498803286
2,34.412357552246355,10.447344637020334
20,36.08614328559858,15.892719860408064
3,0.1596246702942376,59.49475512757617
16,33.5363917212225,0.5987347699337509
77,24.28623953502842,43.01788769856039
31,40.247805439591225,33.037178860324275
11,37.88090405795146,13.56689392715856
24,27.55652214515676,39.888378119723015
63,60.70303006486837,40.64624841875002
10,100.0,99.99999999999999
