,Attack_Index,Finesse_Factor
16,99.99999999999999,22.078452159374994
81,98.45097258516475,13.829182585583336
55,99.3345024153642,24.414340855189142
4,97.85086455076643,14.689965036783615
63,97.99380719914558,11.485828637343369
1,96.15527696767964,0.0
44,97.97887260193261,12.440206486770718
22,2.452921971711719,2.7358241907003604
23,3.6284031959742835,17.836562176124605
10,3.956504899857327,16.610733492741335
14,2.04723017071969,13.89890740591011
3,0.0,7.668595497466309
77,2.7997354832229355,37.29099302309946
18,1.5722610679770173,15.430372931814498
2,0.8481976170472342,19.383559777367246
24,2.6941364436231297,35.89901340877242
31,50.499936617179856,94.72090526878799
11,50.55865335521764,94.806750486251
27,50.1039138082643,100.0
20,50.26408281045758,97.6463768364489
