,Attack_Index,Finesse_Factor
63,0.0,100.0
44,49.919584555313875,44.47293364367241
55,59.04464369244833,44.102009798263516
16,64.5115122253126,27.835220209587995
1,10.819473381033795,61.50322758466052
4,15.39437246824306,26.765180344699818
81,12.498900734947654,19.096656221776165
27,25.226943839691778,9.572164381731007
22,12.662247580957079,34.15788031943417
11,46.67111492129452,0.0
14,15.818527224929365,28.59775288235909
20,18.35461997327723,25.090460964715362
24,55.60460364405569,17.98637727570935
43,79.20627959964179,28.19870391611205
18,10.120444619662699,59.99865663839763
30,12.569541319818835,37.870855491306294
31,22.528576710730754,13.760502767102286
77,57.98749548273368,35.03697334624494
23,85.57049006153764,65.85148991058367
10,100.0,61.551844397205635
