,Attack_Index,Finesse_Factor
4,9.076388973796634,52.572088439270416
1,0.0,33.315987667725494
81,6.5297860723850505,21.684884646082327
63,4.6124583199846025,24.98108285961129
16,100.0,23.32434609362517
44,21.200284480152398,41.304132284657044
55,65.46419159947052,37.47983150597668
14,56.81319575018847,0.0
27,12.887508756133833,24.112191588484563
11,61.21884333153701,9.421227250278918
43,15.223885826177597,16.45781300264918
22,11.154923041114294,20.982415085763524
31,37.60848079306636,45.93024675033124
18,8.110051202249673,23.272451087456872
24,25.61141073520915,40.86006645718486
77,61.559264157133384,30.62137083343122
10,39.48325322303949,11.812543247258061
3,25.296060369581973,15.967478339026933
20,52.52570438160045,26.035003160660185
23,51.17928498502938,100.0
